"","Breeding.Biome","year","med","lci","uci"
"1","Arctic Tundra",1970,0,0,0
"12","Arctic Tundra",1971,-2480397.19158709,-22236986.9591801,17938365.6017207
"23","Arctic Tundra",1972,-5155124.71888155,-23907999.2117863,14546460.4863921
"34","Arctic Tundra",1973,-7219808.04059201,-24823410.8521571,11173504.2770549
"5","Arctic Tundra",1974,-9541855.14085311,-27555595.6955736,8639395.50500709
"16","Arctic Tundra",1975,-12249200.2790133,-31674290.33515,8558630.73521504
"27","Arctic Tundra",1976,-14254565.3354116,-34882152.1203998,8499276.84649096
"38","Arctic Tundra",1977,-15816570.2025651,-39527162.5928272,10138365.2370937
"9","Arctic Tundra",1978,-17187692.4864511,-44198547.6865993,12591724.084487
"20","Arctic Tundra",1979,-19095078.1106749,-48452935.0650741,14454521.1756843
"31","Arctic Tundra",1980,-20343354.8051341,-54176896.4720854,19780119.6249365
"2","Arctic Tundra",1981,-23169436.7222455,-60074067.0755151,22714095.6725099
"13","Arctic Tundra",1982,-25265156.6226559,-65328990.2409839,25665957.1187774
"24","Arctic Tundra",1983,-26706450.1424352,-70119117.9302212,31260478.752411
"35","Arctic Tundra",1984,-28343170.0325559,-76039188.1429684,35625231.2519378
"6","Arctic Tundra",1985,-29221589.9326261,-81015402.9990845,41288808.1190552
"17","Arctic Tundra",1986,-31298501.0883293,-86653312.7511324,45918983.7150132
"28","Arctic Tundra",1987,-32421334.785,-89737638.2241956,55350818.5607703
"39","Arctic Tundra",1988,-32508874.6168128,-93053824.1256183,62979775.7717539
"10","Arctic Tundra",1989,-33192064.0727202,-97494970.0618981,66548640.4676844
"21","Arctic Tundra",1990,-32630214.1983206,-98080136.06503,71096232.0797802
"32","Arctic Tundra",1991,-32158212.5739163,-94390429.1494675,64040103.4883976
"3","Arctic Tundra",1992,-33613685.7207379,-81464043.7453214,34805631.9674383
"14","Arctic Tundra",1993,-32934490.4425235,-83754754.3483052,35056467.2640176
"25","Arctic Tundra",1994,-36630602.8505386,-85713523.9137402,33631405.8671051
"36","Arctic Tundra",1995,-38635475.7867261,-86455856.6625257,31253355.2461353
"7","Arctic Tundra",1996,-41644971.0918272,-88195006.7000737,23377539.6862353
"18","Arctic Tundra",1997,-43173938.1634494,-89304971.6194442,22465255.7332066
"29","Arctic Tundra",1998,-45983080.0521985,-92389317.5100368,20543194.922594
"40","Arctic Tundra",1999,-47991627.2208641,-93550624.5413226,16668795.9632877
"11","Arctic Tundra",2000,-50415805.9232755,-96416044.3232149,15543750.3009282
"22","Arctic Tundra",2001,-53111757.4375682,-98374710.3504545,12689021.2948649
"33","Arctic Tundra",2002,-55181769.890977,-100638911.81058,9629392.03778156
"4","Arctic Tundra",2003,-58046691.2485639,-103315457.23774,9030922.75797407
"15","Arctic Tundra",2004,-60350117.3636491,-105523083.546788,5544446.17760261
"26","Arctic Tundra",2005,-62725494.5900406,-108107576.815179,2141259.85927879
"37","Arctic Tundra",2006,-64994509.42563,-113611486.619571,-1621417.70481376
"8","Arctic Tundra",2007,-67622605.5651305,-114064353.772292,-5042031.52875447
"19","Arctic Tundra",2008,-69061848.1105207,-117849899.175284,-3740714.97240024
"30","Arctic Tundra",2009,-70657632.5334996,-118916910.502839,-6170689.38638965
"41","Arctic Tundra",2010,-72729098.7505584,-121596972.102812,-6925279.04270372
"47","Arctic Tundra",2011,-74193740.1207978,-124461047.964523,-7733419.81124244
"42","Arctic Tundra",2012,-76416715.5495835,-126756449.08006,-6310866.6361251
"44","Arctic Tundra",2013,-80016264.2852744,-130015548.485713,-12914674.4023343
"45","Arctic Tundra",2014,-82487177.3347036,-133015113.48882,-13398371.6745772
"43","Arctic Tundra",2015,-83890536.7041492,-136248930.141097,-14417915.0452463
"46","Arctic Tundra",2016,-82499717.7235567,-133265464.454775,-5161917.34127688
"48","Arctic Tundra",2017,-83360620.0589805,-136594539.081149,-4151442.52087375
"50","Aridlands",1970,0,0,0
"57","Aridlands",1971,-306574.236164898,-7361388.7114396,7021839.86109291
"64","Aridlands",1972,-700150.107073426,-7606574.79624511,6329997.57942283
"75","Aridlands",1973,-1029056.30560988,-7926636.98569263,5839380.60109691
"54","Aridlands",1974,-1612193.86454564,-8420397.48633826,5262703.23821799
"61","Aridlands",1975,-2375564.65866244,-9381423.26172491,4630566.19219764
"68","Aridlands",1976,-3304533.68635851,-10511853.1249288,3708101.00839779
"79","Aridlands",1977,-4865121.93491894,-12655739.0646296,2493026.92253909
"63","Aridlands",1978,-6953414.16768175,-15311815.2555988,1029936.32798017
"74","Aridlands",1979,-9347146.00961816,-17955427.0443927,-868704.380565566
"72","Aridlands",1980,-11725683.0751127,-20433585.9202917,-2876231.2276457
"56","Aridlands",1981,-13898725.3481562,-22929149.8077166,-4979181.8838267
"67","Aridlands",1982,-16005627.3226145,-25109193.7809788,-7094390.87153415
"78","Aridlands",1983,-17840803.9658623,-26931296.7114972,-8716712.11136147
"76","Aridlands",1984,-19626788.4057727,-28758544.5649537,-10568407.6213104
"49","Aridlands",1985,-21342474.1436082,-30396232.0543083,-12070727.2114191
"58","Aridlands",1986,-23065060.37758,-32303228.8804152,-13715118.1764908
"69","Aridlands",1987,-24489458.3522887,-33943218.7011845,-15262166.9171756
"80","Aridlands",1988,-25813562.8814377,-35231016.8022479,-16688506.4200782
"51","Aridlands",1989,-27297491.2740683,-36756554.5947486,-17795698.5865335
"62","Aridlands",1990,-28486940.9449519,-37947855.5370365,-19201012.9986585
"73","Aridlands",1991,-29672252.0478369,-39581468.0887306,-20226913.4196745
"52","Aridlands",1992,-30809691.0601918,-40418463.4236809,-21328717.988495
"55","Aridlands",1993,-31768234.2388174,-41528615.2917135,-22293424.9215799
"66","Aridlands",1994,-32740243.0685018,-42664543.6716973,-23175410.6699713
"77","Aridlands",1995,-33663171.7245769,-43416504.8618488,-23857299.6801149
"65","Aridlands",1996,-34507942.2898404,-44453836.0406798,-24721787.1777899
"59","Aridlands",1997,-35282018.3217451,-45589421.4981232,-25420909.7387887
"70","Aridlands",1998,-35961795.1154092,-45991262.2934424,-26083411.2694397
"81","Aridlands",1999,-36506756.6594402,-46960154.140078,-26615036.090871
