"","species","firstyear","lastyear","sci_name","sort","Breeding.Biome","Winter.Biome","Family","bird.group","Migrate","AI","native","popest","popestlci","popestuci","year_est1","year_est2","Pop.source","Tr_source","popse","spfactor","spfact","g1","g2","famfact","famfactn","birdgroupfact","birdgroupfactn","migratefact","migratefactn","aifact","aifactn","nativefact","nativefactn","Loss_mean","Loss_sd","Loss_lci95","Loss_med","Loss_uci95","Loss_lci","Loss_lqrt","Loss_uqrt","Loss_uci","Psi_mean","Psi_sd","Psi_lci95","Psi_med","Psi_uci95","Psi_lci","Psi_lqrt","Psi_uqrt","Psi_uci","NEst_mean","NEst_sd","NEst_lci95","NEst_med","NEst_uci95","NEst_lci","NEst_lqrt","NEst_uqrt","NEst_uci"
"1","Abert's Towhee",1970,2017,"Melozone aberti",1817,"Aridlands","Southwestern Aridlands","Passerellidae","landbird","R","other","native",890243,429538,1469410,2006,2015,"PIF0615","BBS7017",265273.469387755,"Abert's Towhee",1,7,2,"Passerellidae",39,"landbird",1,"R",3,"other",2,"native",2,-299225.84497843,182007.945729035,-726891.445029075,-271612.752757494,-26487.7908245566,-726891.445029075,-399656.582276448,-168416.314359284,-26487.7908245566,649427.583035939,195685.41589169,271192.085594321,647636.279978206,1036638.13325902,271192.085594321,516971.647648039,779878.651398747,1036638.13325902,888086.949751739,264563.10161005,369685.752126103,888782.965542256,1405613.4432511,369685.752126103,709335.419142044,1062566.69184172,1405613.4432511
"2","Acadian Flycatcher",1970,2017,"Empidonax virescens",1303,"Eastern Forest","Mexico-Central America","Tyrannidae","landbird","M","other","native",5227271,4728009,5829898,2006,2015,"PIF0615","BBS7017",281094.132653061,"Acadian Flycatcher",2,5,5,"Tyrannidae",65,"landbird",1,"M",2,"other",2,"native",2,459991.888974273,252489.175586054,-46455.3335719096,464496.198969953,948152.340614496,-46455.3335719096,292884.392464737,629709.726799947,948152.340614496,5724479.06566104,316497.597007365,5098303.99133444,5726778.72819581,6339505.60645615,5098303.99133444,5513945.36626327,5933786.37495859,6339505.60645615,5228364.00309396,282438.50551641,4668600.27376846,5230394.91826991,5765286.24400418,4668600.27376846,5037007.34912011,5418647.69147606,5765286.24400418
"3","Acorn Woodpecker",1970,2017,"Melanerpes formicivorus",939,"Western Forest","Widespread","Picidae","landbird","R","other","native",2226303,1452256,3390813,2006,2015,"PIF0615","BBS7017",494529.846938776,"Acorn Woodpecker",3,9,10,"Picidae",45,"landbird",1,"R",3,"other",2,"native",2,-524201.012390644,288891.784412389,-1188385.36087011,-485717.710184441,-52417.231607324,-1188385.36087011,-690544.944484818,-321845.24545452,-52417.231607324,1866151.06562903,419361.848742389,1046723.00034933,1866111.09974999,2684328.14919459,1046723.00034933,1587707.1936249,2147370.64403178,2684328.14919459,2227144.58280598,495757.884249718,1255470.72193861,2224760.65017932,3176114.43571745,1255470.72193861,1895960.7136922,2562825.61149106,3176114.43571745
"4","Alder Flycatcher",1970,2017,"Empidonax alnorum",1304,"Boreal Forest","South America","Tyrannidae","landbird","M","other","native",117998630,99384651,141184247,2006,2015,"PIF0615","BBS7017",10663162.244898,"Alder Flycatcher",4,6,3,"Tyrannidae",65,"landbird",1,"M",2,"other",2,"native",2,43269120.883976,7695606.79397289,28480561.3310953,43045391.7014439,58884500.7618888,28480561.3310953,38064598.6085369,48248524.9548603,58884500.7618888,157892190.322512,14426886.6776777,129935452.240619,157812177.981347,186397601.579033,129935452.240619,148079465.889355,167659533.603937,186397601.579033,117949246.991096,10647461.0051036,97137975.6320289,117853498.292225,138828958.274913,97137975.6320289,110800101.247445,125118712.924954,138828958.274913
"5","Allen's Hummingbird",1970,2017,"Selasphorus sasin",342,"Aridlands","Mexico-Central America","Trochilidae","landbird","M","other","native",1484682,348049,4475111,2006,2015,"PIF0615","BBS7017",1052821.93877551,"Allen's Hummingbird",5,5,2,"Trochilidae",62,"landbird",1,"M",2,"other",2,"native",2,4768923.83880929,3130728.21175162,3.02270024557896,4601943.90442983,11270042.4807086,3.02270024557896,2345585.59749097,6901286.07896982,11270042.4807086,6058929.04576111,3951543.62916016,3.9013485440875,5878502.66674817,14175251.6151133,3.9013485440875,3014126.72460205,8779604.53584685,14175251.6151133,1508751.50206434,978347.039967501,1,1476023.91467888,3512590.22695412,1,756811.809355567,2189858.02892285,3512590.22695412
"6","American Avocet",1970,2017,"Recurvirostra americana",444,"Wetland","Widespread","Recurvirostridae","shorebird","M","other","native",450000,180000,1125000,2011,2013,"Shoreb12","BBS7017",241071.428571429,"American Avocet",6,9,11,"Recurvirostridae",52,"shorebird",3,"M",2,"other",2,"native",2,-107070.007429061,90923.5555142136,-331781.472187953,-88873.4916225984,2299.64530911115,-331781.472187953,-153589.554945432,-40815.07847334,2299.64530911115,372974.431858204,196429.020608782,0.87410260405156,368834.990349656,769137.890169111,0.87410260405156,231296.083148294,504823.902719935,769137.890169111,454579.841832505,237004.315373044,1,451039.772112038,926618.634019934,1,284599.480215879,617004.764000198,926618.634019934
"7","American Bittern",1970,2017,"Botaurus lentiginosus",727,"Wetland","Temperate North America","Ardeidae","waterbird","M","other","native",2507797,2005616,3117498,2006,2015,"PIF0615","BBS7017",283643.367346939,"American Bittern",7,8,11,"Ardeidae",10,"waterbird",4,"M",2,"other",2,"native",2,701110.918491324,267734.740353092,175715.270976552,705145.445525445,1214937.16354083,175715.270976552,522565.435633269,879960.434997661,1214937.16354083,3361507.95377167,387248.776733946,2609886.66428273,3356922.1632682,4139060.77747695,2609886.66428273,3099053.3483264,3620783.90725965,4139060.77747695,2511176.15883316,281348.479514312,1961749.39445972,2510005.83571334,3058239.007563,1961749.39445972,2320322.18016763,2703713.32217187,3058239.007563
"8","American Black Duck",1970,2017,"Anas rubripes",49,"Wetland","Temperate North America","Anatidae","waterfowl","M","other","native",583500,500200,666800,2013,2017,"FWS1317","BBS7017",42500,"American Black Duck",8,8,11,"Anatidae",6,"waterfowl",5,"M",2,"other",2,"native",2,341858.132425228,84993.0491219238,175605.737241313,341172.60076531,509166.912343136,175605.737241313,285169.106081187,398552.354298997,509166.912343136,928591.865702203,83269.1454872251,771669.283797965,926468.474739454,1097430.45719003,771669.283797965,872015.402237898,984586.380902355,1097430.45719003,583611.901759318,42941.2200633109,498422.53731512,583709.534754038,667124.808039009,498422.53731512,554366.202797484,612422.257706353,667124.808039009
"9","American Coot",1970,2017,"Fulica americana",435,"Wetland","Widespread","Rallidae","waterbird","M","other","native",5517522,4109506,7381712,2006,2015,"PIF0615","BBS7017",834746.428571429,"American Coot",9,9,11,"Rallidae",51,"waterbird",4,"M",2,"other",2,"native",2,-328527.36959186,1224891.65948344,-3093526.32365188,-188085.032919219,1693383.52201473,-3093526.32365188,-1015480.15902552,510310.308838711,1693383.52201473,4926810.64837497,805553.989476185,3411961.82526152,4902421.66231947,6576509.68090964,3411961.82526152,4375978.28567063,5459844.86760738,6576509.68090964,5527033.98926494,828985.335840981,3938171.49925151,5521924.58505403,7167954.47846899,3938171.49925151,4972062.97274634,6094459.39018033,7167954.47846899
"10","American Crow",1970,2017,"Corvus brachyrhynchos",1395,"Habitat Generalist","Temperate North America","Corvidae","landbird","M","other","native",28047630,26447403,29639378,2006,2015,"PIF0615","BBS7017",814279.336734694,"American Crow",10,8,8,"Corvidae",21,"landbird",1,"M",2,"other",2,"native",2,-842153.287329077,822117.323669438,-2464772.11508621,-832377.042851955,767921.8467067,-2464772.11508621,-1396759.83687701,-291382.72143109,767921.8467067,27022144.1357675,804236.868735537,25460364.4714545,27019512.7246301,28626688.2700313,25460364.4714545,26467568.467824,27573513.3568787,28626688.2700313,28047492.3672808,814489.77969379,26489375.6694701,28039385.7821916,29642160.8510001,26489375.6694701,27493784.9616767,28601235.1371195,29642160.8510001
