"","Group","nspecies","med","lci","uci","plostmed","plostlci","plostuci","node","proportion.species.decline","n.species.decline"
"Nlost",NA,529,2909.6,2729.7,3090.1,0.71280994546273,0.698421518387005,0.728019246198673,"Nlost",0.572778827977316,303
"Nlost.native[1]","Introduced",10,390.87,332.05,443.04,-0.62847465650855,-0.667492129398371,-0.554407254919238,"Nlost.native[1]",0.5,5
"Nlost.native[2]","native",519,2520.3,2349.5,2692,-0.265076981520409,-0.27986788520526,-0.249439553671341,"Nlost.native[2]",0.574181117533719,298
"Nlost.migrate[1]","Introduced",10,390.87,332.05,443.04,-0.62847465650855,-0.667492129398371,-0.554407254919238,"Nlost.migrate[1]",0.5,5
"Nlost.migrate[2]","M",419,2546.3,2376.8,2717.3,-0.282667591915173,-0.29792677810465,-0.266209547348917,"Nlost.migrate[2]",0.582338902147971,244
"Nlost.migrate[3]","R",100,-26.102,-46.323,-7.4056,0.052291076784529,0.0145298904554754,0.0942968872464756,"Nlost.migrate[3]",0.54,54
"Nlost.birdgroup[1]","landbird",357,2515.4,2346.3,2685.1,-0.270796606941096,-0.28554508623725,-0.255019741893457,"Nlost.birdgroup[1]",0.588235294117647,210
"Nlost.birdgroup[2]","other",10,390.87,332.05,443.04,-0.62847465650855,-0.667492129398371,-0.554407254919238,"Nlost.birdgroup[2]",0.5,5
"Nlost.birdgroup[3]","shorebird",44,17.315,12.766,21.915,-0.377662283712322,-0.450264038675077,-0.290655936363597,"Nlost.birdgroup[3]",0.681818181818182,30
"Nlost.birdgroup[4]","waterbird",77,22.277,5.4122,37.529,-0.215138142122123,-0.329761603543111,-0.0538969557585608,"Nlost.birdgroup[4]",0.519480519480519,40
"Nlost.birdgroup[5]","waterfowl",41,-33.428,-57.85,-20.424,0.506707698432225,0.296541806900302,0.870135986040172,"Nlost.birdgroup[5]",0.439024390243902,18
"Nlost.ai[1]","AI",26,158.64,128.48,185.66,-0.321368573328301,-0.366925491301681,-0.264093724499739,"Nlost.ai[1]",0.730769230769231,19
"Nlost.ai[2]","other",503,2752.1,2573.2,2929.7,-0.285568148321134,-0.300255607751954,-0.269782290960124,"Nlost.ai[2]",0.564612326043738,284
"Nlost.biome[1]","Arctic Tundra",51,83.361,4.1514,136.59,-0.240073322883813,-0.383999875271744,-0.0118337213624739,"Nlost.biome[1]",0.725490196078431,37
"Nlost.biome[2]","Aridlands",62,35.685,16.182,50.16,-0.170053660610137,-0.231561540589405,-0.0799968644639127,"Nlost.biome[2]",0.564516129032258,35
"Nlost.biome[3]","Boreal Forest",34,493.81,375.42,619.84,-0.328925021876611,-0.386008838411689,-0.265319173940906,"Nlost.biome[3]",0.5,17
"Nlost.biome[4]","Coasts",38,5.8223,-8.6734,18.248,-0.14537488950606,-0.383440311143785,0.227767686064236,"Nlost.biome[4]",0.5,19
"Nlost.biome[5]","Eastern Forest",63,166.61,147.75,185.54,-0.174237967030008,-0.191617765285938,-0.156427494162908,"Nlost.biome[5]",0.634920634920635,40
"Nlost.biome[6]","Forest Generalist",40,482.07,414.64,551.87,-0.180860773068607,-0.20369056088973,-0.157712677128037,"Nlost.biome[6]",0.4,16
"Nlost.biome[7]","Grassland",31,717.85,673.89,764.75,-0.533341889035468,-0.551106348796478,-0.514517332960026,"Nlost.biome[7]",0.741935483870968,23
"Nlost.biome[8]","Habitat Generalist",38,419.26,374.51,464.18,-0.232565357457502,-0.255093025183305,-0.209016959766949,"Nlost.biome[8]",0.605263157894737,23
"Nlost.biome[9]","Introduced",10,390.87,332.05,443.04,-0.62847465650855,-0.667492129398371,-0.554407254919238,"Nlost.biome[9]",0.5,5
"Nlost.biome[10]","Western Forest",67,139.51,115.99,163.73,-0.294388800182595,-0.327309415596954,-0.259009337773764,"Nlost.biome[10]",0.641791044776119,43
"Nlost.biome[11]","Wetland",95,-20.736,-36.607,-7.7597,0.13110881997496,0.0475420612043412,0.235636242714361,"Nlost.biome[11]",0.473684210526316,45
"Nlost.winter[1]","Caribbean",8,-5.7593,-15.418,1.6688,0.115463005583012,-0.0325002781999566,0.308136578461274,"Nlost.winter[1]",0.25,2
"Nlost.winter[2]","Coastal",44,11.06,6.9848,14.861,-0.420281047534609,-0.515846945327397,-0.276304148704986,"Nlost.winter[2]",0.681818181818182,30
"Nlost.winter[3]","Introduced",10,390.87,332.05,443.04,-0.62847465650855,-0.667492129398371,-0.554407254919238,"Nlost.winter[3]",0.5,5
"Nlost.winter[4]","Marine",26,15.205,0.40476,28.211,-0.295114552542014,-0.476512190320482,-0.00839491855790578,"Nlost.winter[4]",0.615384615384615,16
