Species ID,Red List status,Population trend,Extracted population decline,Population decline years,Population decline details,gen_length_d
137,VU,decreasing,>30%,over the past three generations,Hunting has caused an inferred population reduction of >30% over the past three generations,NA
40637,VU,decreasing,>30%,"in a ten year period (5 in the past, 5 in the future)",NA,NA
714,EN,decreasing,declined by 50%,last three generations (estimated at 18 years),declined by 50% over the last three generations (estimated at 18 years) and this decline is projected to continue,NA
723,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
724,LC,stable,NA,NA,unlikely to be declining,NA
725,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
726,LC,stable,NA,NA,"Least Concern in view of its wide distribution,",NA
728,LC,stable,NA,NA,unlikely to be declining.,NA
851,LC,unknown,NA,NA,unlikely to be declining.,NA
852,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
868,VU,decreasing,≥30%,a period of 15 years (three generations),a population decline of ≥30% over a period of 15 years (three generations)...A population reduction of ≥30% is also suspected to be met in the future (over a period of three generations),NA
4220,VU,decreasing,>30%,over a 30-year time-frame (given a 10-year generation period),an overall population reduction of more than 30% over a 30-year time-frame (given a 10-year generation period),NA
4227,EN,decreasing,>50%,over the past ~27 years,a decline exceeding 50% over the past ~27 years across its restricted range...on Bioko ... the species has undergone declines exceeding 55% over a 20-year period (1986-2006,NA
39957,VU,decreasing,>30%,36 years (three generations),there is reason to believe the species has declined by at least 30% over the past 36 years (three generations),NA
41545,LC,decreasing,NA,NA,"not likely that the species, while declining.",NA
914,EN,decreasing,~60%,over a period of three generations (30 years),a decline approaching 60% over a period of three generations (30 years),NA
918,EN,decreasing,20%≤,over the next 2 generations (24 years),the population is expected to undergone a decline of at least 20% over the next 2 generations (24 years),NA
949,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category,NA
1141,VU,decreasing,NA,>10%,14 years (three generations,2555
1151,VU,decreasing,>10%,over the coming 15 years (three generations),a decline in excess of 10% will occur over the coming 15 years (three generations),1825
1154,VU,stable,>30%,over the past three generations (where generation length is six years,Pacifici et al. 2013),NA
44857,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
88109476,DD,unknown,NA,NA,could be declining,NA
88108473,LC,unknown,NA,NA,unlikely to be declining.,NA
136802,LC,unknown,NA,NA,unlikely to be declining fast,NA
136555,LC,decreasing,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
1590,LC,unknown,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
40523,VU,decreasing,30-50%,10 years,The population size of the Fawn Antechinus has declined by >30% over 10 years,622.1218
1793,NT,decreasing,20%≤,in the next three generations (13 years based on Pacifici et al. 2013),projected to decline by at least 20% in the next three generations (13 years based on Pacifici et al. 2013),NA
39915,VU,decreasing,>30%,past 3 generations (24 years),decline exceeding 30% over the past 3 generations (24 years),NA
1807,VU,decreasing,30%,3 generations (24 years),population decline at a rate greater than 30% over the past 3 generations (24 years),NA
1808,VU,decreasing,>30%,over the past three generations (24 years),a decline exceeding 30% over the past three generations (24 years),NA
1802,VU,decreasing,>30%,over the last three generations (24 years),a population decline of more than 30% over the last three generations (24 years),NA
41540,VU,decreasing,>30%,within three generations (25 years),an inferred past and present decline of its population of more than 30% within three generations (25 years),NA
1890,LC,unknown,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
2018,NT,decreasing,<30%,over 10 years or three generations,declining (likely at less than 30% over 10 years or three generations,NA
41690,VU,decreasing,>30%,last 18 years (three generations),"This species is listed as Vulnerable because of a population decline, estimated to be more than 30% over the last 18 years (three generations),",NA
2055,LC,increasing,NA,NA,likely increasing,NA
2057,EN,decreasing,50%,24-35 years (three generations),"The Galápagos Fur Seal population declined by 77-80% from 1977/78 to 2001. Since then it is thought that the population has increased but is likely still reduced by 50% over the last 24-35 years. Generation length for this species may be anywhere between 8 and 11.7 years, with a best estimate of 10 years.",NA
